run_id,scenario_id,split,seed,config_hash,status,error,failure_category,retry_count,estimator,motion_model,fusion,association,association_mode,merger_enabled,num_real_targets,num_global_tracks_created,association_accuracy,id_switches,excess_global_tracks_total,fragmentation_events_total,track_availability_any_active_mean,track_availability_confirmed_mean,position_rmse_update_m,position_rmse_coasting_m,position_rmse_overall_m,velocity_rmse_update_mps,velocity_rmse_coasting_mps,velocity_rmse_overall_mps,mean_nees_6d,mean_nis,num_nis_samples,recovery_num_events_total,recovery_num_target_reacquisitions_observed,recovery_num_target_reacquisition_censored,recovery_target_reacquisition_latency_mean,recovery_target_reacquisition_latency_median,recovery_target_reacquisition_latency_stdev,recovery_num_identity_recovery_censored,recovery_num_identity_recovery_eligible,recovery_identity_preserving_recovery_rate,recovery_identity_recovery_latency_mean,recovery_identity_recovery_latency_median,recovery_identity_recovery_latency_stdev,recovery_identity_preservation_given_reacquisition,recovery_identity_recovery_penalty_mean,recovery_identity_recovery_penalty_median,identity_switches_epoch_level,same_timestamp_disagreement_epochs
final_extreme_dense_swarm_crossing__seed5001__9f73dbdc,final_extreme_dense_swarm_crossing,final,5001,9f73dbdc,completed,,,0,ukf,coordinated_turn,covariance_intersection,mahalanobis,full_state,True,5,5,1.0,0,0,0,1.0,0.9142857142857143,0.6660536871893531,0.25928848726829457,0.6413773574755836,0.3421931419731677,0.4041201348757461,0.3479333242967667,4.752289221243317,6.21187236062069,32,3,3,0,0.040000000000000036,0.040000000000000036,0.0,0,3,1.0,0.040000000000000036,0.040000000000000036,0.0,1.0,0.0,0.0,0,0
final_extreme_dense_swarm_crossing__seed5002__9f73dbdc,final_extreme_dense_swarm_crossing,final,5002,9f73dbdc,completed,,,0,ukf,coordinated_turn,covariance_intersection,mahalanobis,full_state,True,5,5,1.0,0,0,0,1.0,0.9142857142857143,0.7514349650182609,0.5492053821821009,0.7362806892622483,0.43348028799855776,0.5844157378090589,0.44841276859807644,7.900996375664243,5.155903393190986,32,3,3,0,0.014285714285714235,0.014285714285714235,0.0,0,3,1.0,0.014285714285714235,0.014285714285714235,0.0,1.0,0.0,0.0,0,0
final_geometry_inline__seed5001__9f73dbdc,final_geometry_inline,final,5001,9f73dbdc,completed,,,0,ukf,coordinated_turn,covariance_intersection,mahalanobis,full_state,True,1,1,1.0,0,0,0,1.0,0.7906976744186046,0.6009159979645945,11.350676086798037,5.220304789042298,0.23700519869342265,0.35375987139440385,0.26572166774710243,152.2352718682687,5.468413193844353,34,1,0,1,nan,nan,nan,1,0,nan,nan,nan,nan,nan,nan,nan,0,0
final_geometry_inline__seed5002__9f73dbdc,final_geometry_inline,final,5002,9f73dbdc,completed,,,0,ukf,coordinated_turn,covariance_intersection,mahalanobis,full_state,True,1,1,1.0,0,0,0,1.0,0.7906976744186046,0.44339683483228814,11.104233721480007,5.0954162814125565,0.2527671873607639,0.31613363768828145,0.26727595817177174,142.58694360132694,5.436503439229982,34,1,0,1,nan,nan,nan,1,0,nan,nan,nan,nan,nan,nan,nan,0,0
final_dropout_and_id_switch__seed5001__9f73dbdc,final_dropout_and_id_switch,final,5001,9f73dbdc,completed,,,0,ukf,coordinated_turn,covariance_intersection,mahalanobis,full_state,True,1,1,1.0,0,0,0,1.0,0.91,0.28610202631035686,11.918738311806768,3.5860223843818,0.19603347742234617,0.08051726211697449,0.1885576191535732,90.94441282433425,5.886596440037283,91,1,0,1,nan,nan,nan,1,0,nan,nan,nan,nan,nan,nan,nan,0,0
final_dropout_and_id_switch__seed5002__9f73dbdc,final_dropout_and_id_switch,final,5002,9f73dbdc,completed,,,0,ukf,coordinated_turn,covariance_intersection,mahalanobis,full_state,True,1,1,1.0,0,0,0,1.0,0.9,0.37629326461796153,11.129711195969957,3.5375816724800937,0.18549663595673443,0.10598287114445372,0.17914055558064157,88.32791688656673,5.917085649130512,90,2,1,1,0.0,0.0,0.0,1,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0
final_dropout_and_id_switch__seed5003__9f73dbdc,final_dropout_and_id_switch,final,5003,9f73dbdc,completed,,,0,ukf,coordinated_turn,covariance_intersection,mahalanobis,full_state,True,1,1,1.0,0,0,0,1.0,0.91,0.7418995024424996,11.84938959029457,3.624582812255991,0.18210249618049643,0.2051300071015918,0.1842928353952414,170.78342218048047,5.850597506360885,91,1,0,1,nan,nan,nan,1,0,nan,nan,nan,nan,nan,nan,nan,0,0
final_dropout_and_id_switch__seed5004__9f73dbdc,final_dropout_and_id_switch,final,5004,9f73dbdc,completed,,,0,ukf,coordinated_turn,covariance_intersection,mahalanobis,full_state,True,1,1,1.0,0,0,0,1.0,0.91,0.3336073190507914,11.695842049084959,3.523155163879107,0.206432398791879,0.13204994096292239,0.20086909149575538,88.49064565289655,5.987639578273364,91,1,0,1,nan,nan,nan,1,0,nan,nan,nan,nan,nan,nan,nan,0,0
final_dropout_and_id_switch__seed5005__9f73dbdc,final_dropout_and_id_switch,final,5005,9f73dbdc,completed,,,0,ukf,coordinated_turn,covariance_intersection,mahalanobis,full_state,True,1,1,1.0,0,0,0,1.0,0.9108910891089109,0.3059016690439188,11.758060205371919,3.522033608390357,0.18111188764415243,0.27185339381030266,0.1909558517058198,88.47537809676427,6.317391524289177,92,1,0,1,nan,nan,nan,1,0,nan,nan,nan,nan,nan,nan,nan,0,0
final_dropout_and_id_switch__seed5006__9f73dbdc,final_dropout_and_id_switch,final,5006,9f73dbdc,completed,,,0,ukf,coordinated_turn,covariance_intersection,mahalanobis,full_state,True,1,1,1.0,0,0,0,1.0,0.91,0.2745743497718258,11.85164064138212,3.56512701137762,0.17568854994011962,0.36533126727446474,0.200251114164714,88.85653675631376,6.784489155492802,91,1,0,1,nan,nan,nan,1,0,nan,nan,nan,nan,nan,nan,nan,0,0
