run_id,scenario_id,split,seed,config_hash,status,error,failure_category,retry_count,estimator,motion_model,fusion,association,association_mode,merger_enabled,num_real_targets,num_global_tracks_created,association_accuracy,id_switches,excess_global_tracks_total,fragmentation_events_total,track_availability_any_active_mean,track_availability_confirmed_mean,position_rmse_update_m,position_rmse_coasting_m,position_rmse_overall_m,velocity_rmse_update_mps,velocity_rmse_coasting_mps,velocity_rmse_overall_mps,mean_nees_6d,mean_nis,num_nis_samples,recovery_num_events_total,recovery_num_target_reacquisitions_observed,recovery_num_target_reacquisition_censored,recovery_target_reacquisition_latency_mean,recovery_target_reacquisition_latency_median,recovery_target_reacquisition_latency_stdev,recovery_num_identity_recovery_censored,recovery_num_identity_recovery_eligible,recovery_identity_preserving_recovery_rate,recovery_identity_recovery_latency_mean,recovery_identity_recovery_latency_median,recovery_identity_recovery_latency_stdev,recovery_identity_preservation_given_reacquisition,recovery_identity_recovery_penalty_mean,recovery_identity_recovery_penalty_median,identity_switches_epoch_level,same_timestamp_disagreement_epochs
final_geometry_inline__seed2001__5622f815,final_geometry_inline,final,2001,5622f815,completed,,,0,ukf,coordinated_turn,local_only,mahalanobis,position_only,True,1,1,1.0,0,0,0,1.0,0.7872340425531915,0.47857974860828695,12.556653200989102,5.8074966654497775,0.2469418718660035,0.7943996302116425,0.42693809366851365,155.0427223704195,6.5218902018393585,37,1,0,1,nan,nan,nan,1,0,nan,nan,nan,nan,nan,nan,nan,0,0
final_geometry_inline__seed2001__dc2328da,final_geometry_inline,final,2001,dc2328da,completed,,,0,ukf,coordinated_turn,information,mahalanobis,position_only,True,1,1,1.0,0,0,0,1.0,0.7906976744186046,0.26962253743938924,11.169433409619925,5.115589167594056,0.16789936712028522,0.45036081189612054,0.2544437829044353,212.4298687402099,5.348117982333549,34,1,0,1,nan,nan,nan,1,0,nan,nan,nan,nan,nan,nan,nan,0,0
final_geometry_inline__seed2001__e1d0cabc,final_geometry_inline,final,2001,e1d0cabc,completed,,,0,ukf,coordinated_turn,covariance_intersection,mahalanobis,position_only,True,1,1,1.0,0,0,0,1.0,0.75,0.47418029680108825,12.653623449982993,6.340124747896972,0.23853664617334247,0.7896997331281413,0.4456245233393066,181.01582071278614,6.228609447360994,30,1,0,1,nan,nan,nan,1,0,nan,nan,nan,nan,nan,nan,nan,0,0
final_geometry_inline__seed2002__5622f815,final_geometry_inline,final,2002,5622f815,completed,,,0,ukf,coordinated_turn,local_only,mahalanobis,position_only,True,1,1,1.0,0,0,0,1.0,0.7916666666666666,0.4440898779138196,12.659385993405946,5.791687179425994,0.24467696240546172,0.6070367178214234,0.3523692066228465,152.6864384097002,5.164590983153239,38,1,0,1,nan,nan,nan,1,0,nan,nan,nan,nan,nan,nan,nan,0,0
final_geometry_inline__seed2002__dc2328da,final_geometry_inline,final,2002,dc2328da,completed,,,0,ukf,coordinated_turn,information,mahalanobis,position_only,True,1,1,1.0,0,0,0,1.0,0.8043478260869565,0.26678954589001613,11.58399995156163,5.129486435829441,0.17976668641160656,0.2627954789049016,0.19875960193933634,214.7231415526392,5.596542373911965,37,1,0,1,nan,nan,nan,1,0,nan,nan,nan,nan,nan,nan,nan,0,0
final_geometry_inline__seed2002__e1d0cabc,final_geometry_inline,final,2002,e1d0cabc,completed,,,0,ukf,coordinated_turn,covariance_intersection,mahalanobis,position_only,True,1,1,1.0,0,0,0,1.0,0.8,0.590702500996236,10.427665405371572,4.69322753731621,0.27992367098276927,0.5451903878506079,0.34947434964831825,150.94106343634672,6.444805938461616,32,1,0,1,nan,nan,nan,1,0,nan,nan,nan,nan,nan,nan,nan,0,0
final_loop_crossing__seed2001__5622f815,final_loop_crossing,final,2001,5622f815,completed,,,0,ukf,coordinated_turn,local_only,mahalanobis,position_only,True,2,2,0.9078885214926783,1,0,0,0.782051282051282,0.6282051282051282,19.492511396900316,117.87921223238725,55.124902311454946,5.223014846537056,100.16578090101187,44.67274782316255,4649.422013051849,45.98199898654238,49,2,1,1,0.0,0.0,0.0,1,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0
final_loop_crossing__seed2001__dc2328da,final_loop_crossing,final,2001,dc2328da,completed,,,1,ukf,coordinated_turn,information,mahalanobis,position_only,True,2,2,0.9059665871121718,1,0,0,0.7976190476190477,0.6309523809523809,1.2177102996815918,18.945556914207323,8.72777958878016,2.2861118046745403,44.440449636439624,20.415952270028324,1432.4049605880452,60.56713532559505,53,1,1,0,0.00952380952380949,0.00952380952380949,0.0,0,1,1.0,0.00952380952380949,0.00952380952380949,0.0,1.0,0.0,0.0,1,0
final_loop_crossing__seed2001__e1d0cabc,final_loop_crossing,final,2001,e1d0cabc,completed,,,0,ukf,coordinated_turn,covariance_intersection,mahalanobis,position_only,True,2,2,1.0,0,0,0,0.875,0.7916666666666667,0.5816987829701175,10.87818942352634,3.4023738651005897,2.3721185620235627,8.870482487303136,3.5475202747079355,220.82644532393846,30.933124977675817,19,1,0,1,nan,nan,nan,1,0,nan,nan,nan,nan,nan,nan,nan,0,0
final_loop_crossing__seed2002__5622f815,final_loop_crossing,final,2002,5622f815,completed,,,0,ukf,coordinated_turn,local_only,mahalanobis,position_only,True,2,2,0.9074682949741663,1,0,0,0.7894736842105263,0.6447368421052632,17.845103753728573,188.34221767511107,82.23995776766644,3.160201479915705,3369.7219587583913,1442.8315692272126,1690.7883382424473,44.95528655148364,49,2,1,1,0.004761904761904745,0.004761904761904745,0.0,1,1,1.0,0.004761904761904745,0.004761904761904745,0.0,1.0,0.0,0.0,1,0
final_loop_crossing__seed2002__dc2328da,final_loop_crossing,final,2002,dc2328da,completed,,,1,ukf,coordinated_turn,information,mahalanobis,position_only,True,2,2,0.9022201228153047,1,0,0,0.7906976744186047,0.627906976744186,3.220971303381127,25.398388926469703,11.876401262372541,3.177050947337624,18.2321933827946,8.743768793574832,1531.2387652456941,42.67495555422777,54,2,1,1,0.01904761904761898,0.01904761904761898,0.0,1,1,1.0,0.01904761904761898,0.01904761904761898,0.0,1.0,0.0,0.0,1,0
final_loop_crossing__seed2002__e1d0cabc,final_loop_crossing,final,2002,e1d0cabc,completed,,,0,ukf,coordinated_turn,covariance_intersection,mahalanobis,position_only,True,2,2,1.0,0,0,0,1.0,1.0,0.4996382482625696,nan,0.4996382482625696,0.28875513643989875,nan,0.28875513643989875,6.578898290203326,4.725770500966842,16,0,0,0,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,0,0
final_geometry_inline__seed2001__3e628eda,final_geometry_inline,final,2001,3e628eda,completed,,,0,ukf,coordinated_turn,information,mahalanobis,full_state,True,1,1,1.0,0,0,0,1.0,0.8269230769230769,0.24017941550238195,11.059965253607135,4.606404377893369,0.16022518883189457,0.4455553745528285,0.23577112047465656,176.77201680728288,5.487626455607463,43,1,0,1,nan,nan,nan,1,0,nan,nan,nan,nan,nan,nan,nan,0,0
final_geometry_inline__seed2002__3e628eda,final_geometry_inline,final,2002,3e628eda,completed,,,0,ukf,coordinated_turn,information,mahalanobis,full_state,True,1,1,1.0,0,0,0,1.0,0.8301886792452831,0.3045040690608884,11.484201911118639,4.740555340952081,0.1725863816413018,0.26217471865589353,0.19078817897572597,187.13784868210766,5.891447775511196,44,1,0,1,nan,nan,nan,1,0,nan,nan,nan,nan,nan,nan,nan,0,0
final_loop_crossing__seed2001__3e628eda,final_loop_crossing,final,2001,3e628eda,completed,,,0,ukf,coordinated_turn,information,mahalanobis,full_state,True,2,2,1.0,0,0,0,1.0,0.7613636363636364,0.3695895136902081,17.81586536788416,8.709098034341766,0.24488151193779167,0.2861866687979725,0.2553461326164178,530.7854228575618,6.510330771268398,67,3,1,2,0.016666666666666607,0.016666666666666607,0.0,2,1,1.0,0.016666666666666607,0.016666666666666607,0.0,1.0,0.0,0.0,0,0
final_loop_crossing__seed2002__3e628eda,final_loop_crossing,final,2002,3e628eda,completed,,,0,ukf,coordinated_turn,information,mahalanobis,full_state,True,2,2,1.0,0,0,0,1.0,0.7777777777777778,0.3091032254988845,18.21152783024129,8.589323511400021,0.23053310696359486,0.2831005513255059,0.2431986929254049,488.4892250292465,6.338124674647503,70,2,0,2,nan,nan,nan,2,0,nan,nan,nan,nan,nan,nan,nan,0,0
final_dropout_and_id_switch__seed2001__09243afa,final_dropout_and_id_switch,final,2001,09243afa,completed,,,0,ekf,coordinated_turn,covariance_intersection,mahalanobis,position_only,True,1,1,1.0,0,0,0,1.0,0.9137931034482759,0.3598107582521905,13.194115378840252,3.8891648416126987,0.2011720797889481,0.540004772208181,0.24923838026484166,84.87860804904409,5.917272506204943,106,1,0,1,nan,nan,nan,1,0,nan,nan,nan,nan,nan,nan,nan,0,0
final_dropout_and_id_switch__seed2001__1ad7994c,final_dropout_and_id_switch,final,2001,1ad7994c,completed,,,0,ekf,coordinated_turn,covariance_intersection,euclidean,position_only,False,1,1,1.0,0,0,0,1.0,0.91,0.3218834016046347,11.972887092968971,3.604966907162459,0.20969339015332178,0.5538282268375974,0.2600369448773016,89.36494370747165,5.870282463948877,91,1,0,1,nan,nan,nan,1,0,nan,nan,nan,nan,nan,nan,nan,0,0
final_dropout_and_id_switch__seed2001__3e628eda,final_dropout_and_id_switch,final,2001,3e628eda,completed,,,0,ukf,coordinated_turn,information,mahalanobis,full_state,True,1,1,1.0,0,0,0,1.0,0.9196428571428571,0.286597801153349,11.885205658356503,3.3803307989201294,0.19073621317476658,0.6937032297906696,0.2685641176082773,85.99900025018425,5.779399787686072,103,1,0,1,nan,nan,nan,1,0,nan,nan,nan,nan,nan,nan,nan,0,0
final_dropout_and_id_switch__seed2001__4bd872ad,final_dropout_and_id_switch,final,2001,4bd872ad,completed,,,0,ekf,coordinated_turn,covariance_intersection,euclidean,position_only,True,1,1,1.0,0,0,0,1.0,0.91,0.3767962962634066,11.922759808494842,3.5948429435893594,0.1866913565748722,0.5543001475241466,0.2436579812012389,90.14172743770861,5.748937472686069,91,1,0,1,nan,nan,nan,1,0,nan,nan,nan,nan,nan,nan,nan,0,0
final_dropout_and_id_switch__seed2001__54429464,final_dropout_and_id_switch,final,2001,54429464,completed,,,0,ekf,coordinated_turn,covariance_intersection,mahalanobis,position_only,False,1,3,1.0,801,2,0,1.0,0.9041095890410958,1.7155678138186972,7.706280821010973,5.1195699784502455,0.23698334849485664,0.4511161854026621,0.34190440119894855,164.718325011109,5.22244972078571,77,14,12,2,0.006547619047618802,0.004761904761904745,0.00658930062332796,2,12,1.0,0.02420634920634927,0.011904761904760974,0.04102421633430069,1.0,0.017658730158730467,0.0,304,352
final_dropout_and_id_switch__seed2001__5547fc49,final_dropout_and_id_switch,final,2001,5547fc49,completed,,,0,ukf,coordinated_turn,information,euclidean,position_only,True,1,1,1.0,0,0,0,1.0,0.9173553719008265,0.2846285187720521,13.227740637762063,3.8124672717733974,0.19547705598511178,0.7560301976842497,0.2868649092227444,86.07127134320098,5.929824885284188,111,1,0,1,nan,nan,nan,1,0,nan,nan,nan,nan,nan,nan,nan,0,0
