scenario,seed,gap_s,pre_gap_track,terminal_event_type,recovery_outcome,gate_accepted,exact_position_error_m,last_bucket_position_error_m,last_bucket_delta_t_s
gap_horizon_1uav_maneuver,5001,10.0,True,,CORRECT_RECOVERY,True,,10.269877491463589,9.0
gap_horizon_1uav_maneuver,5001,11.0,True,,CORRECT_RECOVERY,True,,12.955399197580522,10.0
gap_horizon_1uav_maneuver,5001,12.0,True,,CORRECT_RECOVERY,True,,17.644545086770158,11.0
gap_horizon_1uav_maneuver,5001,13.0,True,,CORRECT_RECOVERY,True,,25.611160173724027,12.0
gap_horizon_1uav_maneuver,5001,14.0,True,,CORRECT_RECOVERY,True,,32.95553984570804,13.0
gap_horizon_1uav_maneuver,5001,15.0,True,,CORRECT_RECOVERY,True,,42.84088830290673,14.0
gap_horizon_1uav_maneuver,5001,16.0,True,,CORRECT_RECOVERY,True,,63.55042205579621,15.0
gap_horizon_1uav_maneuver,5001,17.0,True,,CORRECT_RECOVERY,True,,67.58617241335381,16.0
gap_horizon_1uav_maneuver,5001,18.0,True,,CORRECT_RECOVERY,True,,79.92491819852991,17.0
gap_horizon_1uav_maneuver,5001,19.0,True,,CORRECT_RECOVERY,True,,93.07176096602417,18.0
gap_horizon_1uav_maneuver,5001,1.0,True,,CORRECT_RECOVERY,True,0.33336509336822046,,
gap_horizon_1uav_maneuver,5001,20.0,True,,CORRECT_RECOVERY,True,,116.50166744412678,19.0
gap_horizon_1uav_maneuver,5001,21.0,True,,CORRECT_RECOVERY,True,,134.45233384206392,20.0
gap_horizon_1uav_maneuver,5001,22.0,True,,CORRECT_RECOVERY,True,,150.83149169966478,21.0
gap_horizon_1uav_maneuver,5001,23.0,True,,CORRECT_RECOVERY,True,,162.42662502699136,22.0
gap_horizon_1uav_maneuver,5001,24.0,True,,CORRECT_RECOVERY,True,,179.97280582163322,23.0
gap_horizon_1uav_maneuver,5001,25.0,True,,CORRECT_RECOVERY,True,,199.42777764315437,24.0
gap_horizon_1uav_maneuver,5001,26.0,True,,CORRECT_RECOVERY,True,,215.38319345251017,25.0
gap_horizon_1uav_maneuver,5001,27.0,True,,CORRECT_RECOVERY,True,,231.22276755556916,26.0
gap_horizon_1uav_maneuver,5001,28.0,True,,CORRECT_RECOVERY,True,,237.45092647176986,27.0
gap_horizon_1uav_maneuver,5001,29.0,True,,CORRECT_RECOVERY,True,,251.28556304919613,28.0
gap_horizon_1uav_maneuver,5001,2.0,True,,CORRECT_RECOVERY,True,,0.23836687088038602,1.0
gap_horizon_1uav_maneuver,5001,30.0,True,,CORRECT_RECOVERY,True,,256.13846794455355,29.0
gap_horizon_1uav_maneuver,5001,31.0,True,DELETED,NO_RECOVERY,True,,261.3524722828686,29.0
gap_horizon_1uav_maneuver,5001,32.0,True,DELETED,NO_RECOVERY,True,,258.64259838582586,29.0
gap_horizon_1uav_maneuver,5001,3.0,True,,CORRECT_RECOVERY,True,,1.027556394583392,2.0
gap_horizon_1uav_maneuver,5001,4.0,True,,CORRECT_RECOVERY,True,,0.6426814906052262,3.0
gap_horizon_1uav_maneuver,5001,5.0,True,,CORRECT_RECOVERY,True,,1.6438596247532051,4.0
gap_horizon_1uav_maneuver,5001,6.0,True,,CORRECT_RECOVERY,True,,4.849896392367057,5.0
gap_horizon_1uav_maneuver,5001,7.0,True,,CORRECT_RECOVERY,True,,3.127794878948924,6.0
gap_horizon_1uav_maneuver,5001,8.0,True,,CORRECT_RECOVERY,True,,4.101520808610549,7.0
gap_horizon_1uav_maneuver,5001,9.0,True,,CORRECT_RECOVERY,True,,6.082902618610593,8.0
gap_horizon_1uav_maneuver,5002,10.0,True,,CORRECT_RECOVERY,True,,8.439275847110776,9.0
gap_horizon_1uav_maneuver,5002,11.0,True,,CORRECT_RECOVERY,True,,16.108138869576738,10.0
gap_horizon_1uav_maneuver,5002,12.0,True,,CORRECT_RECOVERY,True,,19.20861929565116,11.0
