scenario,seed,gap_s,config_hash,derived_input_sha256,reconciliation_outcome,pre_gap_final_id,post_gap_final_id,post_gap_majority_target,number_of_segments,number_of_gtm_candidates,number_of_gtm_assignments,number_of_reconciliations,number_of_reconstructed_epochs,recon_num_samples,recon_mean_position_error_m,recon_max_position_error_m
gap_horizon_1uav_maneuver,5001,10.0,ab638f3173d91cafb7ed29de974aa01634768e8d4c1ede7d519c0693ee4eaebc,ff918ebea2dc1620a5f1199a9c228a8238acea187da001f8ded661adb6770285,NO_RECONCILIATION,10,2,uav_1,21,441,16,16,169,10,8.587750246291739,11.500258016270793
gap_horizon_1uav_maneuver,5001,11.0,ab638f3173d91cafb7ed29de974aa01634768e8d4c1ede7d519c0693ee4eaebc,b82bf7b1ebb77b0fb7d3219633d1a1f3904c965d8e21c6cafbaa8673a7ecbbf5,NO_RECONCILIATION,10,2,uav_1,21,441,16,16,170,11,4.644504560338015,7.906678773766636
gap_horizon_1uav_maneuver,5001,12.0,ab638f3173d91cafb7ed29de974aa01634768e8d4c1ede7d519c0693ee4eaebc,8c15e7282c7faf2322f263a868c53442b4a3fd10f257547069dca5ba9276bbf0,CORRECT_RECONCILIATION,0,0,uav_1,19,361,14,14,131,12,2.7011083229814297,3.3275161760622427
gap_horizon_1uav_maneuver,5001,13.0,ab638f3173d91cafb7ed29de974aa01634768e8d4c1ede7d519c0693ee4eaebc,0ee109bf2a78cfe6fec8eaf8d4277e3b5e579382607cb682e7a99c0083ff4b1b,NO_RECONCILIATION,1,0,uav_1,18,324,13,13,132,,,
gap_horizon_1uav_maneuver,5001,14.0,ab638f3173d91cafb7ed29de974aa01634768e8d4c1ede7d519c0693ee4eaebc,73fa697034c3ca23a5c78742798a1a3daaf1ec750dbefb990da6669709239c5b,CORRECT_RECONCILIATION,1,1,uav_1,18,324,13,13,128,14,2.0510682636227844,3.3148494567096476
gap_horizon_1uav_maneuver,5001,15.0,ab638f3173d91cafb7ed29de974aa01634768e8d4c1ede7d519c0693ee4eaebc,b6ad743b6f3b3186c9f903f78b607d7ab6157e7f873ad0bf86bf9975c6d7adda,NO_RECONCILIATION,1,0,uav_1,18,324,13,13,132,,,
gap_horizon_1uav_maneuver,5001,16.0,ab638f3173d91cafb7ed29de974aa01634768e8d4c1ede7d519c0693ee4eaebc,8901f1740a606008926738b29d86987ce3e745c47af22063700b1305841dbcd0,NO_RECONCILIATION,1,0,uav_1,18,324,13,13,132,,,
gap_horizon_1uav_maneuver,5001,17.0,ab638f3173d91cafb7ed29de974aa01634768e8d4c1ede7d519c0693ee4eaebc,d2537f84f66353c4d86a2b71cba378df4ea2cd26fc51c1d031e8bd7e42463abf,NO_RECONCILIATION,1,0,uav_1,18,324,13,13,132,,,
gap_horizon_1uav_maneuver,5001,18.0,ab638f3173d91cafb7ed29de974aa01634768e8d4c1ede7d519c0693ee4eaebc,9216f0d60790e5c1c6601aecccfedde306e88444f5abe66c4bd71725c2894acb,NO_RECONCILIATION,1,0,uav_1,18,324,13,13,132,,,
gap_horizon_1uav_maneuver,5001,19.0,ab638f3173d91cafb7ed29de974aa01634768e8d4c1ede7d519c0693ee4eaebc,d5986918a07caab3e81cc8557291eed320ace312ac352331fb8bd8b346833f51,CORRECT_RECONCILIATION,0,0,uav_1,18,324,13,13,133,19,2.352097385702415,3.3555063807273764
