research_question,contrast_metric_label,source_csv,comparison,metric,p_value_wilcoxon_raw,p_value_holm_adjusted,family_size,missing_raw_p_value
RQ1_fusion_temporal_estimation,local_only_vs_information__position_rmse_update_m,no_fusion_comparison_ci_summary.csv,fusion_local_only_vs_information,position_rmse_update_m,2.661137311923306e-09,7.983411935769918e-09,4,False
RQ1_fusion_temporal_estimation,information_vs_covariance_intersection__position_rmse_overall_m,paired_comparisons_ci_summary.csv,t2tf_ci_vs_reference,position_rmse_overall_m,2.8517435116562047e-11,1.1406974046624819e-10,4,False
RQ1_fusion_temporal_estimation,ekf_vs_ukf__position_rmse_update_m,paired_comparisons_ci_summary.csv,temporal_ekf_vs_reference,position_rmse_update_m,0.3970114296725752,0.3970114296725752,4,False
RQ1_fusion_temporal_estimation,cv_vs_ct__position_rmse_overall_m,motion_model_comparison_ci_summary.csv,motion_model_cv_vs_ct,position_rmse_overall_m,3.2980110915581826e-06,6.596022183116365e-06,4,False
RQ2_association,euclidean_vs_mahalanobis_position_only__association_accuracy,paired_comparisons_ci_summary.csv,association_euclidean_vs_reference,association_accuracy,5.217635047517777e-10,1.5652905142553331e-09,4,False
RQ2_association,euclidean_vs_mahalanobis_position_only__identity_switches_epoch_level,paired_comparisons_ci_summary.csv,association_euclidean_vs_reference,identity_switches_epoch_level,2.877615329799257e-07,5.755230659598514e-07,4,False
RQ2_association,position_only_vs_full_state__association_accuracy,full_state_comparison_ci_summary.csv,association_full_state_vs_position_only,association_accuracy,5.2803729173201584e-14,2.1121491669280634e-13,4,False
RQ2_association,position_only_vs_full_state__identity_switches_epoch_level,full_state_comparison_ci_summary.csv,association_full_state_vs_position_only,identity_switches_epoch_level,2.9864940136655622e-05,2.9864940136655622e-05,4,False
RQ3_identity_management,merger_off_vs_on__identity_switches_epoch_level,paired_comparisons_ci_summary.csv,identity_merger_off_vs_reference,identity_switches_epoch_level,1.4356140802291623e-38,1.4356140802291623e-38,2,False
RQ3_identity_management,merger_off_vs_on__fragmentation_events_total,paired_comparisons_ci_summary.csv,identity_merger_off_vs_reference,fragmentation_events_total,,,2,True
