comparison,metric,p_value_wilcoxon,mean,median,ci_lower,ci_upper,num_replicates,num_scenarios,num_pairs
association_full_state_vs_position_only,position_rmse_update_m,7.672917018281737e-13,-1.5236387734044725,-0.057586373321452694,-4.3132768112399775,-0.16696830569919566,10000,13,252
association_full_state_vs_position_only,position_rmse_coasting_m,1.579029929574207e-13,-8.841150166011016e+16,-1.1827651178414627,-4.1627082031471123e+17,-1.7709638304698878,10000,12,226
association_full_state_vs_position_only,position_rmse_overall_m,3.480122169649321e-11,-5.6935566791253096e+16,-0.5065844998992834,-2.7591851598724653e+17,-0.7073556170056265,10000,13,252
association_full_state_vs_position_only,velocity_rmse_update_mps,1.649996822854435e-22,-1.3199864996585915,-0.017522435365892486,-2.5777412442689336,-0.4630031948516403,10000,13,252
association_full_state_vs_position_only,velocity_rmse_coasting_mps,4.1721035201821577e-11,-4.82970431428034e+18,-0.01951952782001503,-2.2739857813035225e+19,-1.8586680474150228,10000,12,226
association_full_state_vs_position_only,velocity_rmse_overall_mps,1.4876270759795357e-25,-3.110250899536615e+18,-0.046238780030545906,-1.5072754359269095e+19,-1.1875628845547117,10000,13,252
association_full_state_vs_position_only,id_switches,0.00019602084653354195,-0.2076923076923077,0.0,-0.49615384615384617,0.07692307692307693,10000,13,260
association_full_state_vs_position_only,identity_switches_epoch_level,2.9864940136655622e-05,-0.20384615384615384,0.0,-0.46923076923076923,0.06923076923076923,10000,13,260
association_full_state_vs_position_only,fragmentation_events_total,,0.0,0.0,0.0,0.0,10000,13,260
association_full_state_vs_position_only,excess_global_tracks_total,0.0028375448887923097,0.05384615384615385,0.0,-0.026923076923076925,0.1846153846153846,10000,13,260
association_full_state_vs_position_only,recovery_identity_recovery_latency_mean,0.8175811767578125,-0.000350140056022531,-0.00015873015873015808,-0.013670634920634818,0.005510085978835878,10000,4,17
association_full_state_vs_position_only,association_accuracy,5.2803729173201584e-14,0.05675749090735243,0.0,0.011457843954775695,0.12551401380063998,10000,13,252
association_full_state_vs_position_only,track_availability_any_active_mean,1.4949233218271505e-16,0.09142504215882573,0.0,0.036551568090029636,0.15994303398059861,10000,13,252
association_full_state_vs_position_only,track_availability_confirmed_mean,2.605448510559415e-13,0.08264876760525154,0.025083612040133763,0.01277349968289475,0.17006164812188612,10000,13,252
association_full_state_vs_position_only,mean_nees_6d,3.224251858369915e-27,-11202.85398236108,-56.596736355233105,-30032.7562988882,-303.17346287533996,10000,13,252
association_full_state_vs_position_only,mean_nis,1.5224974629716637e-16,-13.391511471562408,-0.5135832567556107,-28.18078711169264,-5.256104179280739,10000,13,252
