comparison,metric,p_value_wilcoxon,mean,median,ci_lower,ci_upper,num_replicates,num_scenarios,num_pairs
motion_model_cv_vs_ct,position_rmse_update_m,0.07972632858199162,-0.5945083096529571,-0.008435685875297513,-1.8917712079943234,0.0892307154876708,10000,13,250
motion_model_cv_vs_ct,position_rmse_coasting_m,0.13772862013744702,-9.606249699608123e+16,-0.012128962922830944,-3.8424998798272064e+17,3.6739410983270244,10000,13,208
motion_model_cv_vs_ct,position_rmse_overall_m,3.2980110915581826e-06,-5.739105132558312e+16,-0.2910693470267196,-2.759185159873161e+17,0.18272943457418117,10000,13,250
motion_model_cv_vs_ct,velocity_rmse_update_mps,0.0002604322145985653,-0.24934235627125068,-0.010588106138133851,-0.7064720928126538,0.16709174912683006,10000,13,250
motion_model_cv_vs_ct,velocity_rmse_coasting_mps,5.244759310209058e-19,-5.247659495323831e+18,-0.15731712058820763,-2.0990637981261128e+19,0.649100152352685,10000,13,208
motion_model_cv_vs_ct,velocity_rmse_overall_mps,8.260141639794443e-11,-3.135132906732908e+18,-0.0378700100529297,-1.5072754359270476e+19,-0.2881407048743135,10000,13,250
motion_model_cv_vs_ct,id_switches,0.010446461102920296,0.28076923076923077,0.0,-0.21538461538461537,0.9923076923076922,10000,13,260
motion_model_cv_vs_ct,identity_switches_epoch_level,0.003844093443694843,0.31153846153846154,0.0,-0.1846153846153846,1.0384615384615385,10000,13,260
motion_model_cv_vs_ct,fragmentation_events_total,,0.0,0.0,0.0,0.0,10000,13,260
motion_model_cv_vs_ct,excess_global_tracks_total,0.08808151166219029,0.03076923076923077,0.0,-0.02692307692307692,0.12692307692307694,10000,13,260
motion_model_cv_vs_ct,recovery_identity_recovery_latency_mean,0.9704538211378824,0.00352879818594091,2.220446049250313e-16,-0.005103968253968412,0.01598904006046844,10000,5,50
motion_model_cv_vs_ct,association_accuracy,0.4915969913678936,0.0009052312274881053,0.0,-0.030686824077240386,0.028642214842073136,10000,13,250
motion_model_cv_vs_ct,track_availability_any_active_mean,0.14141020447703245,0.006818316167443707,0.0,-0.0303817005911937,0.04350707709639837,10000,13,250
motion_model_cv_vs_ct,track_availability_confirmed_mean,9.022678465063491e-07,0.02883780319127938,0.011873628169803419,-0.023616752784209084,0.08519873018351788,10000,13,250
motion_model_cv_vs_ct,mean_nees_6d,0.002116601437970397,110699.49563505824,3.9791815906884622,-10962.21242105523,547467.9257284866,10000,13,250
motion_model_cv_vs_ct,mean_nis,0.08063147950353963,0.305585411371923,0.11579837051614073,-11.432524157738289,12.226200519523863,10000,13,250
