comparison,metric,p_value_wilcoxon,mean,median,ci_lower,ci_upper,num_replicates,num_scenarios,num_pairs
fusion_local_only_vs_information,position_rmse_update_m,2.661137311923306e-09,0.3959110687812486,0.08767903238521785,-0.10107408260120251,1.1257976666654275,10000,13,252
fusion_local_only_vs_information,position_rmse_coasting_m,0.5351470346131537,-8.502552925599256e+16,-0.014847257186485052,-3.842499879825657e+17,39124.70935349464,10000,13,235
fusion_local_only_vs_information,position_rmse_overall_m,0.1603642571190207,-5.693556679118154e+16,0.05257572551772238,-2.7591851598705466e+17,22881.47674122577,10000,13,252
fusion_local_only_vs_information,velocity_rmse_update_mps,4.667610261537681e-05,0.03728480582329259,0.0312758237925517,-0.26056973548174267,0.29269066550987216,10000,13,252
fusion_local_only_vs_information,velocity_rmse_coasting_mps,0.8054175462776461,-4.644736915007711e+18,0.01348462754750962,-2.099063798125813e+19,734027.1535982813,10000,13,235
fusion_local_only_vs_information,velocity_rmse_overall_mps,1.4844711885384006e-06,-3.1102508995351537e+18,0.04282645925316006,-1.5072754359265184e+19,475493.00318692974,10000,13,252
fusion_local_only_vs_information,id_switches,2.8100133098599676e-05,0.2076923076923077,0.0,0.019230769230769232,0.4461538461538461,10000,13,260
fusion_local_only_vs_information,identity_switches_epoch_level,3.393678214785911e-06,0.2,0.0,0.007692307692307691,0.4461538461538461,10000,13,260
fusion_local_only_vs_information,fragmentation_events_total,,0.0,0.0,0.0,0.0,10000,13,260
fusion_local_only_vs_information,excess_global_tracks_total,0.119140625,0.026923076923076925,0.0,-0.023076923076923075,0.1,10000,13,260
fusion_local_only_vs_information,recovery_identity_recovery_latency_mean,0.9363458662556395,-0.0007857142857143007,0.0,-0.003409863945578177,0.007456349206349312,10000,7,70
fusion_local_only_vs_information,association_accuracy,3.253780186669626e-05,-0.00834934377292479,0.0,-0.020220680769761006,0.0041476589750391825,10000,13,252
fusion_local_only_vs_information,track_availability_any_active_mean,0.4934874068235582,-0.003460594188079222,0.0,-0.0210173199633234,0.014057245355542359,10000,13,252
fusion_local_only_vs_information,track_availability_confirmed_mean,0.9901831848224176,-0.010737322551698772,0.0,-0.042572639735661166,0.021961821628569213,10000,13,252
fusion_local_only_vs_information,mean_nees_6d,2.388791227025498e-19,-6696.285007187181,-68.26815301745675,-17912.167287372107,-143.29804218800834,10000,13,252
fusion_local_only_vs_information,mean_nis,0.15755441067430653,-4.519818090527229,-0.09618772748178595,-15.638022182176687,0.0224425068849543,10000,13,252
