comparison,metric,p_value_wilcoxon,mean,median,ci_lower,ci_upper,num_replicates,num_scenarios,num_pairs
temporal_ekf_vs_reference,position_rmse_update_m,0.3970114296725752,-0.27586737759459473,-0.004723712585435386,-1.1504984071376652,0.29845941738341514,10000,13,252
temporal_ekf_vs_reference,position_rmse_coasting_m,0.2021900090234554,-8.430801424128648e+16,-0.05173390459065885,-3.842499879827344e+17,5.28900838631204,10000,13,237
temporal_ekf_vs_reference,position_rmse_overall_m,0.19411015191804182,-5.6935566791253096e+16,-0.27276788534496976,-2.7591851598737053e+17,1.8603322455069646,10000,13,252
temporal_ekf_vs_reference,velocity_rmse_update_mps,0.16425669100348506,0.013984414099339978,-0.0022560992722366197,-0.27813193950549564,0.271667086914133,10000,13,252
temporal_ekf_vs_reference,velocity_rmse_coasting_mps,0.021644286167978602,-4.6055408229002404e+18,-0.006232015667179069,-2.0990637981261427e+19,1.169150379752862,10000,13,237
temporal_ekf_vs_reference,velocity_rmse_overall_mps,0.08800273020868765,-3.110250899536615e+18,-0.004421676759800111,-1.5072754359271336e+19,0.45660385363268774,10000,13,252
temporal_ekf_vs_reference,id_switches,1.721665628646501e-07,0.5153846153846153,0.0,0.03076923076923077,1.3076923076923077,10000,13,260
temporal_ekf_vs_reference,identity_switches_epoch_level,2.9437755701691745e-08,0.5269230769230769,0.0,0.04615384615384615,1.2999999999999998,10000,13,260
temporal_ekf_vs_reference,fragmentation_events_total,,0.0,0.0,0.0,0.0,10000,13,260
temporal_ekf_vs_reference,excess_global_tracks_total,0.076171875,0.03076923076923077,0.0,-0.019230769230769232,0.11153846153846156,10000,13,260
temporal_ekf_vs_reference,recovery_identity_recovery_latency_mean,0.6687846503399588,-0.0008511904761904143,-0.0017460317460315624,-0.006004061524894848,0.004851105684439246,10000,6,70
temporal_ekf_vs_reference,association_accuracy,7.52622835150356e-05,-0.014457399167134767,0.0,-0.03826801872384379,0.006241412986412763,10000,13,252
temporal_ekf_vs_reference,track_availability_any_active_mean,0.06197856961851746,-0.017222730734217123,0.0,-0.046857607261251225,0.005093405737046175,10000,13,252
temporal_ekf_vs_reference,track_availability_confirmed_mean,2.493169438116765e-05,-0.006004574532445462,0.014050081839887374,-0.04916535153314451,0.035782172549318765,10000,13,252
temporal_ekf_vs_reference,mean_nees_6d,2.2628391994463614e-10,-3983.0028909785333,-21.687810888541705,-10882.809958506774,96.52593436735842,10000,13,252
temporal_ekf_vs_reference,mean_nis,0.4725551391248233,-2.5803664294044313,-0.08047980322595549,-12.88570373920994,1.910005775527015,10000,13,252
t2tf_ci_vs_reference,position_rmse_update_m,0.16556986053410072,-0.9012941978206637,0.07399432888640811,-2.906677281066212,0.1251079754698209,10000,13,252
t2tf_ci_vs_reference,position_rmse_coasting_m,9.122243415231022e-06,-1.14833329742441e+17,-0.5098117661714676,-4.0447367156093946e+17,-1.3607223881231005,10000,13,174
t2tf_ci_vs_reference,position_rmse_overall_m,2.8517435116562047e-11,-5.6935566791252664e+16,-0.6121521476170706,-2.759185159872461e+17,-1.15744434061147,10000,13,252
t2tf_ci_vs_reference,velocity_rmse_update_mps,0.926395246886352,-0.7248275667541041,0.02328948520112975,-1.6646383650505732,-0.06285392192778565,10000,13,252
t2tf_ci_vs_reference,velocity_rmse_coasting_mps,0.009064798382529217,-6.273064224295131e+18,-0.01580859525096588,-2.2095408401331384e+19,0.04939421597242789,10000,13,174
t2tf_ci_vs_reference,velocity_rmse_overall_mps,0.004703193558895833,-3.110250899536604e+18,0.011899115509513572,-1.5072754359269054e+19,-0.5101875579886298,10000,13,252
t2tf_ci_vs_reference,id_switches,0.0016168312364549784,-0.15,0.0,-0.4115384615384616,0.10769230769230768,10000,13,260
t2tf_ci_vs_reference,identity_switches_epoch_level,0.0014090297827057344,-0.13846153846153847,0.0,-0.4115384615384616,0.13846153846153847,10000,13,260
t2tf_ci_vs_reference,fragmentation_events_total,,0.0,0.0,0.0,0.0,10000,13,260
t2tf_ci_vs_reference,excess_global_tracks_total,0.125,-0.019230769230769232,0.0,-0.06153846153846154,0.007692307692307693,10000,13,260
t2tf_ci_vs_reference,recovery_identity_recovery_latency_mean,0.01025207939517376,-0.006716269841269929,-0.007142857142857326,-0.00909970238095258,0.004366666666667713,10000,5,32
t2tf_ci_vs_reference,association_accuracy,2.2611658195660582e-07,0.022512207068445284,0.0,-0.0031045358026710185,0.05661598119700713,10000,13,252
t2tf_ci_vs_reference,track_availability_any_active_mean,8.504885016369377e-11,0.05742333053362414,0.0,0.012539077437808903,0.11377815247548966,10000,13,252
t2tf_ci_vs_reference,track_availability_confirmed_mean,1.5106728401489996e-10,0.11671527618013679,0.020835530452096795,0.019156725232398,0.2421321698567897,10000,13,252
t2tf_ci_vs_reference,mean_nees_6d,1.1831165686175909e-22,-10512.502550650775,-82.55486889727942,-28224.18560003961,-198.28102071242841,10000,13,252
t2tf_ci_vs_reference,mean_nis,1.0036082748879505e-11,-9.73489350586567,-0.5422169536136776,-24.596458934806837,-2.4227742476246146,10000,13,252
association_euclidean_vs_reference,position_rmse_update_m,2.3933894363400795e-08,2.5388937608688034,0.02896053901811277,0.4825386202901734,5.464559095735952,10000,13,252
association_euclidean_vs_reference,position_rmse_coasting_m,0.02248436170161271,1.3970300717726826e+19,-0.005590627780919455,-1.536999951934599e+17,5.103033798096398e+19,10000,13,236
association_euclidean_vs_reference,position_rmse_overall_m,0.6232423564377699,8.239257102667596e+18,-0.13587001055283743,-1.103674063954561e+17,3.987352379431879e+19,10000,13,252
association_euclidean_vs_reference,velocity_rmse_update_mps,1.512379626874073e-07,0.8051170495258112,0.006289359923396132,0.20407105276617932,1.5372282989473365,10000,13,252
association_euclidean_vs_reference,velocity_rmse_coasting_mps,0.43985284375964706,8.89166998449218e+19,-0.0017371501544581058,-8.396255192508357e+18,3.3962852828425886e+20,10000,13,236
association_euclidean_vs_reference,velocity_rmse_overall_mps,0.08656562768419983,5.2104427626368434e+19,0.002385085542576146,-6.029101743715258e+18,2.494915214707093e+20,10000,13,252
association_euclidean_vs_reference,id_switches,1.3901899992453707e-06,0.4423076923076923,0.0,0.0,1.2230769230769232,10000,13,260
association_euclidean_vs_reference,identity_switches_epoch_level,2.877615329799257e-07,0.46153846153846156,0.0,0.007692307692307693,1.2461538461538462,10000,13,260
association_euclidean_vs_reference,fragmentation_events_total,,0.0,0.0,0.0,0.0,10000,13,260
association_euclidean_vs_reference,excess_global_tracks_total,0.3984375,-0.015384615384615385,0.0,-0.061538461538461535,0.015384615384615385,10000,13,260
association_euclidean_vs_reference,recovery_identity_recovery_latency_mean,0.6401134405017543,-0.0015384044526901813,0.0,-0.004393571428571394,0.0015416666666667428,10000,5,55
association_euclidean_vs_reference,association_accuracy,5.217635047517777e-10,-0.03790644081893987,0.0,-0.09801072951089511,0.002713933761355281,10000,13,252
association_euclidean_vs_reference,track_availability_any_active_mean,0.01629793060736728,-0.034507699241030074,0.0,-0.09934548572776403,0.0073335799591973845,10000,13,252
association_euclidean_vs_reference,track_availability_confirmed_mean,1.1321861444889827e-07,-0.007563105320755198,0.01947385146608238,-0.08124371081048078,0.05457330382923112,10000,13,252
association_euclidean_vs_reference,mean_nees_6d,0.6122944227519085,13951.028244863293,-16.353394617671114,-6956.176866075512,54043.74730291643,10000,13,252
association_euclidean_vs_reference,mean_nis,1.0797396840669655e-09,37.05903154563311,0.31852908227819565,7.794386661697358,73.35942200966737,10000,13,252
identity_merger_off_vs_reference,position_rmse_update_m,3.2789815536893585e-15,1.8101193239802384,1.3667546653390152,-2.62604898726759,6.85358717170452,10000,13,247
identity_merger_off_vs_reference,position_rmse_coasting_m,1.4639281403019888e-19,-8.802202367922862e+16,-4.24814092309744,-3.07399990387547e+17,-1.4102268417562658,10000,13,227
identity_merger_off_vs_reference,position_rmse_overall_m,0.002494674502217784,-5.808810862913271e+16,1.013008058154489,-2.7591851598733974e+17,2.9206951813180426,10000,13,247
